1329,01/01/2022 01:18,-300
1376,01/01/2022 01:42,400
1582,01/01/2022 02:09,300
1103,01/01/2022 02:16,-950
1480,01/01/2022 02:21,150
1083,01/01/2022 03:13,-250
1564,01/01/2022 03:32,-250
1303,01/01/2022 03:35,500
1151,01/01/2022 03:52,-150
1644,01/01/2022 03:55,200
1268,01/01/2022 04:12,-500
1584,01/01/2022 04:25,600
1025,01/01/2022 04:31,50
1354,01/01/2022 04:33,-150
1613,01/01/2022 04:36,-450
1363,01/01/2022 04:40,300
1471,01/01/2022 05:22,700
1167,01/01/2022 05:49,-150
1066,01/01/2022 05:55,650
1303,01/01/2022 05:58,700
1183,01/01/2022 06:19,-100
1022,01/01/2022 06:26,100
1168,01/01/2022 06:51,750
1506,01/01/2022 06:57,200
1406,01/01/2022 07:18,700
1688,01/01/2022 07:30,700
1069,01/01/2022 07:38,-200
1228,01/01/2022 07:40,50
1560,01/01/2022 07:42,-500
1262,01/01/2022 07:49,500
1693,01/01/2022 08:04,-50
1170,01/01/2022 08:15,-1150
1658,01/01/2022 08:21,50
1488,01/01/2022 08:38,450
1579,01/01/2022 08:38,50
1032,01/01/2022 08:57,650
1553,01/01/2022 09:36,450
1504,01/01/2022 09:49,450
1369,01/01/2022 10:09,-500
1061,01/01/2022 10:10,700
1591,01/01/2022 10:36,-400
1163,01/01/2022 11:16,250
1696,01/01/2022 11:33,850
1546,01/01/2022 11:40,300
1604,01/01/2022 11:47,200
1257,01/01/2022 11:48,500
1568,01/01/2022 11:50,-150
1121,01/01/2022 11:51,100
1137,01/01/2022 12:06,-50
1559,01/01/2022 12:06,450
1679,01/01/2022 12:14,-100
1375,01/01/2022 12:16,350
1160,01/01/2022 12:24,50
1455,01/01/2022 12:28,450
1541,01/01/2022 12:36,-1150
1256,01/01/2022 12:44,-50
1012,01/01/2022 13:04,550
1428,01/01/2022 13:17,-250
1283,01/01/2022 13:28,-450
1294,01/01/2022 13:28,600
1003,01/01/2022 13:55,-300
1603,01/01/2022 14:03,300
1225,01/01/2022 14:11,200
1090,01/01/2022 14:15,-200
1390,01/01/2022 15:08,150
1030,01/01/2022 15:20,150
1242,01/01/2022 15:30,200
1582,01/01/2022 15:30,300
1065,01/01/2022 15:34,-400
1291,01/01/2022 15:34,300
1548,01/01/2022 15:34,600
1217,01/01/2022 15:36,200
1432,01/01/2022 16:04,700
1570,01/01/2022 16:44,500
1448,01/01/2022 16:46,-300
1298,01/01/2022 17:05,-200
1268,01/01/2022 17:11,550
1323,01/01/2022 17:14,300
1622,01/01/2022 17:15,600
1613,01/01/2022 17:18,350
1385,01/01/2022 17:25,500
1007,01/01/2022 17:31,350
1143,01/01/2022 17:38,-250
1232,01/01/2022 17:44,250
1416,01/01/2022 18:07,-100
1654,01/01/2022 18:10,-250
1133,01/01/2022 18:17,150
1395,01/01/2022 18:23,100
1453,01/01/2022 18:26,-500
1641,01/01/2022 18:34,-400
1074,01/01/2022 18:36,-400
1319,01/01/2022 18:40,-100
1596,01/01/2022 18:42,-50
1347,01/01/2022 18:43,550
1176,01/01/2022 18:47,750
